bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
50,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",352,(EF08LP14),0.6386681,0.6299999999999997
50,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",1387,(EF08LP16),0.6373184,0.6299999999999997
50,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",1560,(EF06LI04),0.5679194,0.6299999999999997
51,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",873,(EF67EF04P1),0.68757176,0.6799999999999997
51,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",892,(EF67EF04P2),0.6833625,0.6799999999999997
51,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",1026,(EF08HI06),0.6267251,0.6799999999999997
52,(EF69CO10),(EF69CO10) Entender como é a estrutura e funcionamento da internet,992,(EF09GE14),0.6010209,0.5999999999999996
53,(EF69CO11),"(EF69CO11) Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito.",1301,(EF69LP06AX),0.62014353,0.6199999999999997
53,(EF69CO11),"(EF69CO11) Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito.",920,(EF89EF06),0.5822794,0.6199999999999997
53,(EF69CO11),"(EF69CO11) Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito.",955,(EF07ER02),0.56577206,0.6199999999999997
54,(EF69CO12),"(EF69CO12) Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade.",170,(EF07MA29X),0.6655605,0.6599999999999997
54,(EF69CO12),"(EF69CO12) Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade.",294,(EF69LP44),0.6382506,0.6599999999999997
54,(EF69CO12),"(EF69CO12) Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade.",190,(EF89EF19),0.5946449,0.6599999999999997
